Path,448,0,3
Path,448,64,3
Path,448,128,3
Path,448,192,3
Path,512,256,3
Path,576,256,3
Path,640,256,3
Path,768,256,3
Path,704,256,3
Path,832,256,3
Path,896,256,3
Path,960,256,3
Path,1024,192,3
Path,1024,128,3
Path,1024,64,3
Path,1024,0,3
Path,512,192,3
Path,896,192,1
Path,832,192,1
Path,768,192,1
Path,704,192,1
Path,640,192,1
Path,576,192,1
Path,576,128,1
Path,512,128,1
Path,512,64,1
Path,512,0,1
Path,576,0,1
Path,576,64,1
Path,640,64,1
Path,640,128,1
Path,768,128,1
Path,832,128,1
Path,896,128,1
Path,960,128,1
Path,960,0,1
Path,896,64,1
Path,960,64,1
Path,896,0,1
Path,832,0,1
Path,768,0,1
Path,704,0,1
Path,640,0,1
Path,704,64,1
Path,768,64,1
Path,832,64,1
Path,704,128,1
Path,1536,128,2
Path,1600,64,2
Path,1536,64,2
Path,1600,128,2
Path,1600,192,2
Path,1600,256,2
Path,1536,192,2
Path,1536,256,2
Path,1536,320,2
Path,1600,320,2
Path,1600,384,2
Path,1536,384,2
Path,1600,448,2
Path,1536,512,2
Path,1536,448,2
Path,1600,512,2
Path,1600,576,2
Path,1600,640,2
Path,1536,576,2
Path,1536,640,2
Path,1536,704,2
Path,1600,704,2
Path,1600,768,2
Path,1536,768,2
Path,1472,704,2
Path,1472,768,2
Path,1344,704,2
Path,1408,704,2
Path,1216,704,2
Path,1280,704,2
Path,1280,768,2
Path,1344,768,2
Path,1408,768,2
Path,1152,704,2
Path,1088,704,2
Path,1024,704,2
Path,960,704,2
Path,896,704,2
Path,832,704,2
Path,768,704,2
Path,768,640,2
Path,768,576,2
Path,704,576,2
Path,704,640,2
Path,704,704,2
Path,768,768,2
Path,832,768,2
Path,896,768,2
Path,768,320,2
Path,768,384,2
Path,768,512,2
Path,704,512,2
Path,704,384,2
Path,704,320,2
Path,640,320,2
Path,576,320,2
Path,512,320,2
Path,448,256,2
Path,384,256,2
Path,384,192,2
Path,384,128,2
Path,832,320,2
Path,896,320,2
Path,960,320,2
Path,1024,256,2
Path,1088,256,2
Path,1088,192,2
Path,1088,128,2
Path,704,448,2
Path,896,448,2
Path,832,448,2
Path,960,448,2
Path,1408,448,2
Path,1472,448,2
Path,1024,448,2
Path,1088,448,2
Path,1152,448,2
Path,1280,448,2
Path,1344,448,2
Path,1216,448,2
Path,1344,512,2
Path,1408,512,2
Path,1472,512,2
Path,1280,512,2
Path,1216,512,2
Path,1152,512,2
Path,1088,512,2
Path,1024,512,2
Path,960,512,2
Path,832,512,2
Path,896,512,2
Path,640,448,2
Path,576,448,2
Path,512,448,2
Path,448,448,2
Path,384,448,2
Path,320,448,2
Path,256,448,2
Path,192,448,2
Path,128,448,2
Path,64,448,2
Path,0,448,2
Path,0,512,2
Path,64,512,2
Path,128,512,2
Path,192,512,2
Path,256,512,2
Path,320,512,2
Path,384,512,2
Path,448,512,2
Path,512,512,2
Path,576,512,2
Path,640,512,2
Path,640,704,2
Path,576,704,2
Path,512,704,2
Path,448,704,2
Path,320,704,2
Path,384,704,2
Path,256,704,2
Path,192,704,2
Path,128,704,2
Path,64,704,2
Path,64,768,2
Path,128,768,2
Path,256,768,2
Path,192,768,2
Path,320,768,2
Path,384,768,2
Path,448,768,2
Path,512,768,2
Path,576,768,2
Path,640,768,2
